"Capital";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"110020 Porto Velho";"96,69";"93,51";"90,07";"98,95";"102,54";"96,97";"98,74";"99,19";"104,97";"99,07";"112,76";"111,54";"96,01";"104,25";"97,79";"100,15";"104,87";"109,12";"82,53";"72,83";"98,46"
"120040 Rio Branco";"99,65";"93,42";"113,38";"122,85";"102,13";"102,15";"108,94";"102,05";"120,60";"99,45";"116,67";"106,76";"97,38";"76,68";"81,75";"73,67";"79,12";"80,63";"88,44";"63,03";"96,67"
"130260 Manaus";"93,37";"96,40";"85,63";"81,14";"86,38";"82,89";"91,84";"86,44";"90,19";"93,54";"87,15";"92,07";"89,90";"100,98";"113,17";"88,02";"76,50";"74,52";"82,68";"71,88";"88,28"
"140010 Boa Vista";"88,83";"85,23";"89,58";"100,40";"103,26";"97,09";"100,22";"105,14";"109,50";"97,80";"100,69";"92,99";"84,31";"84,74";"121,85";"87,34";"93,19";"72,72";"93,38";"87,41";"94,52"
"150140 Belém";"118,21";"97,19";"96,56";"104,47";"120,80";"112,88";"107,65";"102,26";"102,43";"100,04";"99,72";"80,16";"88,89";"78,47";"58,31";"65,13";"63,85";"68,61";"74,53";"51,98";"90,89"
"160030 Macapá";"164,24";"84,61";"93,44";"101,52";"93,06";"93,04";"99,18";"92,26";"134,49";"82,22";"86,43";"98,41";"81,07";"74,89";"96,60";"30,20";"60,45";"65,76";"72,29";"36,03";"86,33"
"172100 Palmas";"148,29";"108,41";"96,11";"101,06";"99,82";"97,27";"103,18";"92,69";"99,77";"93,37";"98,78";"86,50";"84,18";"81,58";"111,29";"78,94";"74,82";"86,78";"77,75";"86,05";"94,07"
"211130 São Luís";"117,21";"103,55";"109,86";"117,78";"111,11";"107,91";"107,92";"103,05";"106,18";"103,18";"100,78";"99,53";"104,10";"81,17";"104,60";"78,48";"73,47";"61,57";"55,44";"37,38";"95,16"
"221100 Teresina";"107,73";"100,18";"113,03";"89,60";"98,29";"93,11";"98,32";"87,30";"92,67";"88,15";"88,15";"93,13";"93,25";"85,77";"76,24";"66,02";"66,76";"75,14";"72,53";"61,23";"87,39"
"230440 Fortaleza";"109,22";"100,14";"95,03";"111,01";"102,44";"94,15";"102,09";"97,61";"101,67";"93,64";"90,22";"91,75";"97,83";"98,05";"118,37";"127,83";"85,96";"129,96";"95,87";"95,56";"101,90"
"240810 Natal";"92,16";"96,41";"91,89";"94,92";"95,79";"92,36";"89,13";"78,43";"86,33";"91,10";"88,04";"89,45";"78,38";"72,74";"82,57";"72,48";"44,39";"96,53";"85,02";"68,29";"84,68"
"250750 João Pessoa";"95,89";"86,35";"89,37";"96,51";"94,77";"100,97";"101,38";"93,24";"101,86";"96,25";"93,86";"95,02";"101,73";"103,16";"91,16";"75,07";"64,10";"80,53";"81,55";"57,31";"89,79"
"261160 Recife";"110,14";"104,72";"131,79";"108,57";"127,81";"111,94";"103,55";"100,69";"99,37";"90,66";"111,04";"96,77";"86,86";"94,79";"105,71";"87,47";"87,27";"86,84";"68,81";"65,27";"99,24"
"270430 Maceió";"78,41";"103,30";"99,20";"96,41";"92,05";"92,96";"74,67";"61,00";"96,66";"98,44";"61,36";"87,85";"96,66";"83,14";"84,12";"66,22";"67,09";"79,55";"79,25";"73,03";"83,86"
"280030 Aracaju";"96,85";"92,41";"99,48";"103,38";"75,49";"72,44";"97,18";"95,30";"96,16";"94,81";"100,31";"84,87";"93,86";"87,72";"93,54";"61,85";"66,08";"75,91";"71,72";"58,92";"86,06"
"292740 Salvador";"119,78";"99,26";"91,38";"100,60";"109,73";"103,35";"96,48";"82,30";"88,22";"87,91";"90,28";"88,77";"91,29";"90,57";"102,56";"81,66";"85,87";"76,50";"70,48";"72,29";"91,86"
"310620 Belo Horizonte";"104,30";"88,21";"80,42";"90,87";"92,01";"92,08";"93,69";"89,39";"89,64";"85,45";"89,84";"92,88";"91,90";"49,24";"73,45";"92,96";"84,18";"89,31";"85,22";"90,38";"87,29"
"320530 Vitória";"97,81";"100,88";"98,75";"111,69";"104,44";"106,20";"97,65";"92,37";"99,57";"97,44";"116,48";"112,72";"105,58";"105,31";"90,71";"101,29";"95,03";"96,59";"91,02";"81,03";"100,04"
"330455 Rio de Janeiro";"80,50";"111,53";"116,78";"105,35";"123,81";"88,71";"112,76";"119,10";"112,41";"116,34";"122,59";"95,99";"102,50";"100,22";"108,11";"101,42";"103,49";"97,96";"77,82";"73,26";"103,47"
"355030 São Paulo";"96,47";"85,31";"91,15";"91,04";"91,65";"95,10";"95,00";"93,49";"95,98";"91,48";"95,67";"91,24";"97,29";"92,06";"98,36";"76,94";"78,62";"92,55";"85,11";"74,94";"90,50"
"410690 Curitiba";"101,61";"95,30";"96,18";"90,43";"95,55";"99,99";"98,35";"92,47";"97,01";"98,21";"100,12";"97,38";"96,95";"91,81";"97,57";"96,65";"89,06";"93,93";"89,66";"86,25";"95,31"
"420540 Florianópolis";"99,03";"85,60";"86,23";"87,29";"89,44";"84,83";"87,89";"81,72";"88,40";"81,74";"78,11";"84,99";"75,68";"69,37";"80,09";"86,67";"95,73";"79,44";"73,64";"54,26";"82,05"
"431490 Porto Alegre";"89,61";"76,34";"83,34";"82,67";"88,03";"88,11";"88,40";"83,49";"86,05";"82,52";"84,81";"80,71";"77,19";"85,06";"84,73";"70,04";"78,38";"76,35";"76,86";"77,67";"82,02"
"500270 Campo Grande";"113,67";"97,25";"101,90";"87,55";"95,78";"91,38";"96,92";"89,80";"101,29";"94,65";"77,81";"95,43";"106,17";"95,09";"101,31";"92,80";"87,45";"90,46";"97,47";"77,03";"94,40"
"510340 Cuiabá";"116,98";"131,04";"123,18";"102,49";"119,45";"102,47";"96,81";"109,05";"94,48";"94,86";"102,77";"88,92";"94,71";"100,25";"97,78";"81,60";"79,10";"74,32";"79,30";"71,71";"97,30"
"520870 Goiânia";"98,47";"91,88";"98,37";"108,05";"95,50";"105,89";"106,76";"98,80";"101,53";"95,56";"89,69";"94,21";"94,63";"92,41";"85,14";"76,24";"73,57";"81,05";"64,77";"71,81";"90,68"
"530010 Brasília";"97,51";"97,23";"96,96";"101,10";"96,60";"101,83";"100,31";"99,18";"101,97";"94,20";"86,48";"93,65";"112,17";"94,34";"74,92";"136,83";"84,41";"86,03";"84,32";"81,15";"96,07"
"Ignorado";"103,71";"101,38";"101,31";"106,38";"106,47";"108,20";"107,45";"101,59";"105,16";"100,59";"102,86";"97,85";"102,22";"98,81";"98,96";"83,26";"85,61";"89,83";"85,18";"76,57";"98,24"
