"Município";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"110001 ALTA FLORESTA D\'OESTE";"105,36";"106,99";"94,95";"75,87";"95,48";"107,98";"145,74";"102,71";"108,48";"101,54";"105,66";"97,43";"101,51";"99,74";"101,05";"101,76";"105,87";"111,35";"152,82";"94,92";"103,95"
"110002 ARIQUEMES";"116,29";"93,37";"103,46";"100,00";"105,77";"116,96";"182,81";"118,35";"115,65";"100,12";"97,41";"104,41";"103,86";"116,82";"100,06";"102,43";"100,30";"96,75";"105,97";"86,43";"106,92"
"110003 CABIXI";"108,50";"96,71";"71,71";"181,44";"95,83";"135,24";"122,68";"129,84";"141,82";"102,73";"92,73";"86,36";"81,11";"125,00";"140,54";"100,00";"164,00";"209,59";"170,15";"122,39";"118,77"
"110004 CACOAL";"111,40";"115,62";"97,94";"94,62";"103,20";"100,91";"113,77";"100,00";"99,09";"95,75";"92,87";"90,52";"86,05";"95,42";"107,43";"97,86";"112,24";"103,06";"83,13";"84,78";"99,17"
"110005 CEREJEIRAS";"117,07";"112,23";"103,09";"127,40";"111,22";"140,54";"95,06";"106,87";"135,02";"121,66";"116,59";"118,89";"115,93";"114,29";"104,80";"112,85";"108,43";"104,94";"119,13";"103,97";"114,16"
"110006 COLORADO DO OESTE";"134,31";"117,72";"116,00";"87,94";"100,00";"131,52";"124,48";"111,79";"110,99";"88,64";"92,31";"96,34";"100,84";"135,05";"109,38";"99,63";"134,80";"64,57";"100,00";"94,65";"107,95"
"110007 CORUMBIARA";"74,24";"100,51";"113,47";"143,61";"150,71";"190,00";"139,77";"114,66";"190,16";"140,16";"112,30";"111,48";"106,12";"106,03";"114,66";"107,20";"112,00";"105,04";"136,78";"160,92";"123,36"
"110008 COSTA MARQUES";"117,75";"115,89";"122,42";"127,21";"112,54";"102,77";"112,63";"110,51";"122,62";"139,29";"108,73";"90,08";"108,17";"125,64";"108,55";"132,96";"105,99";"121,13";"136,11";"87,04";"115,16"
"110009 ESPIGAO D\'OESTE";"113,87";"117,72";"96,42";"99,30";"97,35";"155,91";"244,49";"95,75";"97,16";"92,82";"26,65";"88,28";"106,85";"105,25";"100,00";"103,84";"93,54";"96,91";"99,81";"71,67";"100,22"
"110010 GUAJARA-MIRIM";"100,32";"86,58";"87,47";"88,81";"85,85";"248,46";"71,51";"92,58";"91,82";"85,87";"105,94";"105,83";"90,27";"97,66";"101,15";"119,78";"101,74";"73,87";"97,03";"53,09";"94,47"
