"Município";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"410010 ABATIA";"100,82";"93,86";"126,60";"82,24";"93,65";"149,38";"89,90";"112,22";"115,66";"93,98";"130,12";"122,89";"104,90";"101,04";"113,27";"98,94";"109,57";"97,06";"78,45";"92,24";"103,78"
"410020 ADRIANOPOLIS";"176,00";"150,00";"117,53";"125,84";"82,22";"142,17";"107,61";"116,67";"113,83";"127,66";"146,81";"60,64";"104,23";"106,76";"120,55";"40,58";"131,88";"124,29";"60,20";"81,63";"110,55"
"410030 AGUDOS DO SUL";"151,49";"123,85";"174,07";"153,15";"117,12";"130,95";"129,59";"101,94";"114,15";"152,83";"133,96";"136,79";"116,50";"108,18";"148,25";"73,68";"102,63";"104,42";"100,00";"115,04";"124,16"
"410040 ALMIRANTE TAMANDARE";"95,40";"146,51";"102,58";"105,48";"106,76";"98,36";"107,57";"83,91";"95,78";"96,51";"98,37";"95,61";"94,01";"94,91";"78,89";"82,13";"79,36";"82,16";"76,32";"74,08";"94,54"
"410045 ALTAMIRA DO PARANA";"132,38";"142,86";"106,32";"135,71";"125,29";"132,84";"94,20";"136,36";"105,77";"96,15";"109,62";"94,23";"110,17";"127,45";"81,48";"109,09";"121,82";"103,70";"66,20";"40,85";"110,31"
"410050 ALTONIA";"131,17";"86,67";"100,00";"100,69";"111,65";"97,72";"100,43";"98,29";"107,32";"95,53";"87,40";"93,90";"95,04";"99,58";"70,51";"97,27";"102,73";"93,23";"97,55";"102,04";"98,13"
"410060 ALTO PARANA";"115,70";"115,57";"120,39";"99,44";"119,76";"124,86";"121,37";"94,84";"98,77";"106,79";"123,46";"102,47";"87,77";"95,00";"91,16";"111,35";"96,22";"117,82";"107,87";"91,57";"106,73"
"410070 ALTO PIQUIRI";"196,97";"112,14";"156,07";"111,04";"125,00";"125,66";"133,08";"96,21";"95,20";"108,80";"113,60";"76,80";"87,22";"80,47";"93,28";"75,17";"84,56";"86,62";"100,00";"102,26";"107,12"
"410080 ALVORADA DO SUL";"125,78";"88,06";"104,31";"99,12";"100,86";"121,36";"101,01";"91,89";"119,28";"110,84";"114,46";"91,57";"170,65";"113,27";"127,71";"88,24";"86,55";"98,10";"106,31";"71,17";"105,26"
"410090 AMAPORA";"92,31";"114,47";"120,99";"136,71";"80,43";"115,66";"95,40";"76,74";"86,90";"108,33";"92,86";"84,52";"130,59";"72,00";"73,24";"91,76";"114,12";"72,41";"97,56";"93,90";"97,47"
"410100 AMPERE";"130,04";"127,52";"130,51";"92,68";"92,14";"113,84";"115,00";"80,19";"77,02";"96,17";"85,53";"96,60";"150,68";"162,25";"108,00";"110,04";"100,36";"100,78";"98,87";"91,73";"108,27"
"410105 ANAHY";"108,89";"120,00";"104,88";"100,00";"100,00";"100,00";"100,00";"66,67";"117,14";"117,14";"97,14";"82,86";"121,43";"96,43";"124,24";"159,26";"155,56";"64,29";"96,55";"172,41";"107,74"
"410110 ANDIRA";"103,45";"122,74";"95,29";"105,80";"95,89";"116,61";"117,83";"92,74";"105,88";"91,54";"89,71";"85,29";"106,50";"77,39";"73,22";"93,06";"100,93";"91,12";"86,59";"65,85";"96,69"
"410115 ANGULO";"106,06";"102,70";"135,71";"120,69";"77,50";"94,87";"105,26";"88,24";"100,00";"109,09";"103,03";"103,03";"181,08";"117,14";"89,13";"96,00";"98,00";"76,19";"134,15";"124,39";"107,05"
"410120 ANTONINA";"111,47";"108,52";"109,73";"125,97";"89,05";"104,93";"106,71";"84,95";"135,27";"119,09";"114,52";"119,92";"146,22";"123,27";"77,85";"75,91";"64,69";"92,46";"70,61";"55,20";"100,40"
"410130 ANTONIO OLINTO";"149,44";"111,54";"118,75";"143,33";"140,45";"153,25";"117,11";"110,26";"126,58";"106,33";"116,46";"96,20";"174,03";"133,87";"98,68";"154,55";"142,42";"80,22";"97,33";"122,67";"124,02"
"410140 APUCARANA";"103,34";"98,91";"93,75";"98,83";"100,76";"102,27";"101,21";"97,59";"98,38";"94,15";"96,47";"92,18";"102,45";"106,55";"120,32";"76,77";"86,47";"88,92";"75,98";"61,31";"94,60"
"410150 ARAPONGAS";"105,45";"101,61";"102,75";"98,87";"96,52";"92,73";"116,23";"96,77";"103,58";"95,53";"108,53";"97,94";"104,71";"92,95";"103,37";"75,97";"86,90";"91,49";"80,43";"68,34";"95,47"
"410160 ARAPOTI";"92,56";"96,38";"106,26";"108,90";"106,96";"103,53";"100,44";"109,70";"106,44";"88,78";"96,66";"86,87";"96,32";"96,17";"96,21";"107,84";"118,21";"115,60";"112,12";"117,93";"102,87"
"410165 ARAPUA";"168,75";"120,63";"94,59";"140,00";"140,00";"89,09";"101,89";"105,88";"100,00";"123,40";"100,00";"95,74";"51,06";"150,00";"81,40";"129,41";"161,76";"90,32";"68,63";"82,35";"107,59"
"410170 ARARUNA";"125,96";"105,70";"116,84";"105,10";"115,56";"103,61";"91,50";"112,21";"107,59";"94,94";"122,15";"109,49";"143,56";"146,37";"88,00";"82,99";"97,42";"80,10";"94,74";"86,84";"106,03"
"410180 ARAUCARIA";"100,35";"98,82";"107,79";"95,34";"99,95";"96,34";"95,24";"99,37";"94,53";"104,43";"107,21";"113,28";"110,54";"101,93";"91,27";"85,39";"89,33";"92,15";"90,59";"112,04";"99,06"
"410185 ARIRANHA DO IVAI";"124,24";"214,29";"120,51";"215,38";"112,50";"110,71";"89,29";"70,27";"67,65";"111,76";"108,82";"70,59";"154,84";"83,33";"94,44";"118,75";"87,50";"125,81";"84,09";"47,73";"109,06"
"410190 ASSAI";"89,31";"92,54";"102,10";"93,73";"111,35";"110,39";"100,00";"90,65";"92,86";"83,61";"90,34";"94,54";"111,31";"75,77";"95,31";"75,20";"60,80";"73,79";"101,56";"38,02";"89,34"
"410200 ASSIS CHATEAUBRIAND";"91,39";"102,59";"101,87";"97,16";"102,23";"110,86";"89,30";"97,33";"96,22";"99,24";"101,76";"106,55";"92,34";"99,25";"88,95";"95,21";"137,78";"140,22";"132,34";"87,66";"103,70"
"410210 ASTORGA";"90,91";"114,53";"106,23";"92,58";"97,20";"97,02";"101,40";"87,64";"106,35";"97,99";"103,68";"112,37";"106,30";"68,97";"98,28";"82,87";"106,23";"86,28";"107,94";"71,75";"96,41"
"410220 ATALAIA";"124,39";"131,82";"140,00";"108,16";"103,03";"113,33";"112,50";"86,11";"78,95";"118,42";"102,63";"105,26";"65,22";"160,00";"56,25";"145,00";"135,00";"102,33";"88,24";"103,92";"107,29"
"410230 BALSA NOVA";"120,98";"105,81";"109,03";"117,89";"97,26";"113,04";"108,63";"77,22";"125,16";"108,18";"107,55";"120,75";"171,27";"133,33";"135,53";"104,30";"104,30";"108,90";"79,32";"77,64";"110,56"
"410240 BANDEIRANTES";"104,60";"94,81";"102,16";"92,47";"97,18";"88,18";"106,99";"114,32";"118,47";"101,49";"95,33";"84,29";"92,20";"101,50";"100,94";"91,92";"88,60";"87,50";"89,01";"84,75";"96,86"
"410250 BARBOSA FERRAZ";"113,46";"78,89";"120,13";"116,85";"114,73";"87,80";"109,33";"69,89";"126,47";"106,62";"89,71";"90,44";"174,77";"72,00";"114,52";"86,13";"83,94";"84,92";"86,55";"55,46";"98,59"
"410260 BARRACAO";"168,21";"102,08";"128,24";"152,24";"121,64";"102,90";"134,81";"113,45";"121,05";"94,74";"100,75";"96,99";"114,08";"99,23";"99,27";"148,18";"137,27";"93,15";"104,70";"102,01";"116,23"
"410270 BARRA DO JACARE";"91,18";"109,68";"100,00";"104,00";"122,73";"96,67";"134,62";"130,00";"111,11";"155,56";"138,89";"172,22";"92,59";"163,64";"97,22";"66,67";"86,11";"88,00";"168,00";"124,00";"112,79"
"410275 BELA VISTA DA CAROBA";"143,14";"79,71";"115,49";"101,39";"92,21";"98,33";"126,09";"97,87";"161,54";"228,21";"179,49";"166,67";"96,23";"65,31";"175,00";"105,71";"125,71";"176,92";"70,83";"102,08";"118,02"
"410280 BELA VISTA DO PARAISO";"107,04";"97,61";"114,20";"89,86";"103,52";"113,12";"92,08";"100,54";"95,14";"96,22";"115,14";"105,95";"92,11";"74,16";"83,93";"86,70";"91,63";"94,29";"90,32";"77,42";"95,35"
"410290 BITURUNA";"110,29";"85,95";"113,59";"91,59";"89,71";"90,49";"103,47";"95,45";"108,00";"94,55";"82,55";"78,55";"107,69";"101,75";"105,13";"108,61";"111,89";"95,57";"98,89";"93,33";"98,04"
"410300 BOA ESPERANCA";"108,82";"123,88";"100,00";"83,61";"139,58";"103,28";"112,24";"73,91";"82,69";"96,15";"94,23";"69,23";"182,50";"90,00";"72,55";"107,27";"101,82";"123,53";"79,69";"76,56";"100,09"
"410302 BOA ESPERANCA DO IGUACU";"175,68";"93,33";"141,18";"92,00";"161,54";"150,00";"119,35";"116,13";"117,24";"86,21";"148,28";"137,93";"93,02";"2,63";"110,81";"84,62";"76,92";"118,52";"113,33";"90,00";"108,86"
"410304 BOA VENTURA DE SAO ROQUE";"88,20";"122,22";"123,47";"115,09";"89,29";"101,89";"104,00";"106,19";"93,02";"109,30";"98,84";"109,30";"118,48";"101,16";"80,90";"90,36";"101,20";"95,60";"87,80";"126,83";"103,04"
"410305 BOA VISTA DA APARECIDA";"115,79";"97,50";"85,48";"90,98";"93,89";"155,32";"118,26";"99,09";"96,26";"105,61";"116,82";"81,31";"84,54";"99,13";"87,96";"77,60";"95,20";"122,77";"74,80";"110,57";"99,74"
"410310 BOCAIUVA DO SUL";"147,93";"130,73";"140,00";"141,10";"116,39";"106,45";"127,22";"88,96";"109,66";"95,45";"120,45";"123,30";"59,29";"113,41";"93,29";"86,70";"88,30";"92,27";"87,00";"33,00";"104,57"
"410315 BOM JESUS DO SUL";"76,47";"101,39";"157,14";"150,00";"137,78";"95,08";"121,05";"130,61";"123,53";"117,65";"123,53";"47,06";"169,39";"148,48";"134,15";"107,02";"100,00";"92,86";"95,16";"101,61";"114,43"
"410320 BOM SUCESSO";"100,00";"82,14";"113,04";"97,06";"93,88";"119,48";"87,78";"92,13";"108,89";"113,33";"121,11";"105,56";"133,64";"95,15";"128,43";"97,27";"110,91";"101,14";"119,77";"108,14";"106,21"
"410322 BOM SUCESSO DO SUL";"117,65";"71,79";"125,71";"238,46";"133,33";"66,67";"115,38";"113,51";"90,70";"81,40";"97,67";"93,02";"120,93";"77,55";"102,27";"82,05";"79,49";"131,43";"147,22";"91,67";"105,14"
